Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
VE,8023,SUMIALFA ECHO,97
VE,8028,,915
VE,8028,CALARIS,24
VE,8102,,4765
VE,8102,MERPAN 80 WDG,533
VE,8146,,60
VE,8146,GALLERY,6.5
VE,8184,,273
VE,8184,CHALLENGE,43
VE,8189,,1400
VE,8229,,1
VE,8259,LAMDEX EXTRA,22
VE,8320,DELFIN,3
VE,8376,,252
VE,8376,ARIANE II,10
VE,8498,,75
VE,8498,FOLICUR WG,59
VE,8542,,264.4
VE,8542,FORUM 50 WP,252
VE,8546,,317
VE,8558,,803
VE,8558,PIRETRO VERDE,10
VE,8581,FOLIANE SC,50
VE,8599,,1245
VE,8599,GOLD BEET,80
VE,8601,,11211
VE,8601,FOLPAN 80 WDG,10007
VE,8617,,13
VE,8656,,1760
VE,8656,GLIFENE HP,2903
VE,8706,,30.5
VE,8706,AMID THIN W,2.5
VE,8712,,2
VE,8712,ALLEGANTE 4% AF 96,2
VE,8735,,1980.5
VE,8735,TREBON UP,763
VE,8743,,5.5
VE,8795,,37.5
VE,8795,VERTIMEC EC,13
VE,8801,,611
VE,8801,SCORE 25 EC,160.25
VE,8836,,87
VE,8843,NISSHIN,1
VE,8874,,265
VE,8874,ETOFUM - FL,12
VE,8882,,172
VE,8886,,51.6
VE,8886,SAFARI,42.24
VE,8929,,3.5
VE,8933,,4
VE,8934,,544
VE,8934,SCALA,91
VE,8937,,3
VE,9005,,1510
VE,9005,AGIL,1703
VE,9010,RAMEZIN COMBI WG,180
VE,9041,,9240
VE,9126,,0.5
VE,9210,,6401
VE,9210,QUADRIS,977
VE,9244,,380
VE,9244,ZIRAMIT 76 WG,80
VE,9280,,1
VE,9280,TOPAS 200 EW,0.5
VE,9342,DELTRIN,24.5
VE,9373,,94
VE,9373,CHORUS,3
VE,9380,,4820
VE,9380,FREEWAY 360,4060
VE,9422,,346.5
VE,9422,EVADE,115.5
VE,9477,,1
VE,9509,,44.5
VE,9531,,24
VE,9569,,703
VE,9569,ZETARAM 3B FL,20
VE,9578,,1277.5
VE,9578,SWITCH,264
VE,9612,OSSICLOR 30,10
VE,9631,,5
VE,9695,PERLAN,7.5
VE,9696,,5
VE,9705,,120
VE,9705,PREVITER,33
VE,9723,,2190
VE,9757,,111
VE,9757,SPYRALE,58
VE,9790,,923
VE,9790,CONTATTO 320,24
VE,9800,,219.65
VE,9800,MAVRIK SMART,73.35
VE,9843,,3480.2
VE,9843,BASAGRAN SG,1086
VE,9954,,1995
VE,9954,JOKER,1126
VE,10048,,500
VE,10048,KUMULUS TECNO,9400
VE,10117,,2047
VE,10117,STRATOS ULTRA,707
VE,10118,,1983
VE,10118,AMISTAR,86.6
VE,10154,,10
VE,10161,,585
VE,10161,ORTIVA,22
VE,10220,,7
VE,10221,,15
VE,10224,,1250
VE,10263,,1
VE,10305,,83
VE,10305,OIKOS,5
VE,10306,,75
VE,10306,MISTRAL,60
VE,10350,,465
VE,10350,BLAST SG,477
VE,10381,,165
VE,10415,ARIC 480 L.S.,25
VE,10423,,1698
VE,10423,LUMACHICIDA VEBI,108
VE,10439,,1
VE,10461,DICOTURF,0.5
VE,10479,,40
VE,10479,NATURALIS,2
VE,10573,,440
VE,10573,KOCIDE 2000,52
VE,10577,,1086.5
VE,10577,METRIPHAR 70 WG,177.5
VE,10585,,17
VE,10588,,285
VE,10588,BIOPIREN PLUS,21
VE,10604,,9.75
VE,10604,EMERALD 40 EW,3
VE,10632,,351
VE,10632,COBRE NORDOX SUPER 75 WG,316
VE,10647,,5
VE,10701,,450.25
VE,10701,CUMETA FLOW,20
VE,10734,,5543
VE,10734,DUAL GOLD,3180
VE,10735,,3898
VE,10735,PRIMAGRAM GOLD,546
VE,10741,,189
VE,10741,METACINQUE,485
VE,10771,,3138
VE,10771,MOST MICRO,1340
VE,10816,,47.25
VE,10890,,180
VE,10890,FLiPPER,85
VE,10890,FLiPPER PFNPE,0.4
VE,10890,SLB FLiPPER ML. 200,5
VE,10926,,71
VE,10929,,4.85
VE,10929,CHIKARA 25 WG,0.05
VE,10944,,658
VE,10944,KARATE ZEON,196.25
VE,10948,,25
VE,10948,VITISAN WG,19.5
VE,10952,,206
VE,10976,,1250.2
VE,10976,METEOR,558.25
VE,10999,,458
VE,10999,BETANAL SE,788
VE,11011,,4350
VE,11011,DASH HC,1908
VE,11040,,60
VE,11040,POLTIGLIA BORDOLESE DISPERSS BLU,20
VE,11059,,184
VE,11059,BIOPOWER,20
VE,11062,,59
VE,11062,BION 50 WG,3
VE,11070,,44980
VE,11070,TIOGOLD DISPERSS,60
VE,11088,,29
VE,11102,,240
VE,11102,HELIOSOUFRE S,30
VE,11119,,269.95
VE,11119,FLINT,4.45
VE,11133,,34.5
VE,11133,SHELTER,117
VE,11147,,504
VE,11150,,775
VE,11190,,1
VE,11196,,60
VE,11197,,581
VE,11197,VITENE 45 WG,22
VE,11206,,5887.2
VE,11206,CODACIDE,3032.5
VE,11243,,1408
VE,11243,LEOPARD 5 EC,1972
VE,11252,,4
VE,11253,,81
VE,11253,CALLISTO,120.7
VE,11255,,453
VE,11257,,21
VE,11257,COSTAR WG,7.5
VE,11258,,50
VE,11341,,507
VE,11341,STARANE GOLD,582
VE,11353,,307
VE,11353,FUSILADE MAX,11
VE,11355,,13410
VE,11393,,24
VE,11393,BEETLE,17
VE,11402,,10
VE,11416,,20
VE,11448,,455
VE,11448,KICKER,6
VE,11449,,195
VE,11479,,37
VE,11479,BRANCHER DIRADO,8
VE,11505,,98
VE,11505,READY GERMIPLUS,14
VE,11526,,159
VE,11526,SULTAN,133
VE,11549,,2.25
VE,11552,,20
VE,11554,ECODIAN CIDIA,5
VE,11561,,60
VE,11561,NEEMAZAL T/S,4
VE,11569,,405
VE,11611,VYDATE 10L,10
VE,11619,TIOFLOR WDG,16
VE,11637,,392
VE,11649,,1992.8
VE,11649,COMMAND 36 CS,67.6
VE,11654,,407
VE,11678,,17
VE,11687,,300
VE,11690,,37
VE,11690,GOAL 480 SC,0.5
VE,11693,,38.25
VE,11693,LASER,10.95
VE,11730,COSMOTRIN,190
VE,11760,,2300
VE,11760,POLITHIOL,480
VE,11762,,20
VE,11762,FORUM STAR,15
VE,11767,,43
VE,11779,,35
VE,11793,XENTARI WG,3
VE,11802,,20
VE,11857,,175
VE,11870,,0.5
VE,11872,RIFLE 3-18-R,51
VE,11944,,190
VE,11991,NEEMIK TEN,7
VE,11999,,180
VE,12010,TUAREG,31
VE,12020,,0.08
VE,12023,,457
VE,12037,,1735
VE,12037,CAMIX,485
VE,12043,,122
VE,12043,PREVICUR ENERGY,12
VE,12048,,20
VE,12048,TIOSOL 80 WG,340
VE,12090,,290
VE,12096,,28157
VE,12096,POLTIGLIA DISPERSS,6662
VE,12100,,98
VE,12106,,183.5
VE,12106,TALENDO,78.5
VE,12114,,44
VE,12133,,25
VE,12133,JUVINAL GOLD,1
VE,12170,,500
VE,12170,HELIOCUIVRE,530
VE,12225,,11.76
VE,12225,TEPPEKI,4.82
VE,12233,,175
VE,12233,KAPLAN,2
VE,12285,,2473
VE,12285,FORUM GOLD,707
VE,12296,,2
VE,12319,,3
VE,12319,KRONOS,20
VE,12361,,12.6
VE,12361,ALGEDI,77.6
VE,12381,,11
VE,12381,NU-FILM-P,1
VE,12437,,336
VE,12437,DELAN 70 WG,62
VE,12452,,36
VE,12453,,1289
VE,12453,MILDICUT,196
VE,12482,,9500
VE,12482,LUMAX,5300
VE,12522,METRO,24.5
VE,12528,,13
VE,12528,CABRIO TOP,110
VE,12529,,75
VE,12529,TUCANA 25 EC,16
VE,12534,,172.25
VE,12534,FOXTAIL,15.5
VE,12548,XANILO 45 WG,26.5
VE,12566,,45
VE,12573,EKO OIL SPRAY,100
VE,12590,,2000
VE,12590,DIASTAR MAXI,40
VE,12622,QUANTUM,8.5
VE,12625,EFUZIN 400 SC,4
VE,12628,,8
VE,12647,,212
VE,12661,NEXOL 10 WG,7
VE,12662,,1325
VE,12671,,350.93
VE,12671,HARMONY 50 SX,47.56
VE,12722,,115
VE,12737,,2733
VE,12737,AIRONE PIU',4234
VE,12738,KING 360 HP,20
VE,12748,,462
VE,12754,,10
VE,12756,,88.6
VE,12756,DICOTEX,32
VE,12759,,71
VE,12759,OSSICLOR 35 WG,129
VE,12763,,40
VE,12770,,1
VE,12779,,10
VE,12785,,1200
VE,12788,,79
VE,12788,ADIGOR,111
VE,12792,,2138
VE,12792,Magic Tandem,880
VE,12806,,229
VE,12806,FEDOR,371
VE,12828,SITOFEX,1
VE,12834,,10.49
VE,12835,ISONET LE,156
VE,12839,ECODIAN STAR,8
VE,12862,,543
VE,12862,CANTUS,155
VE,12866,,13
VE,12866,COLLIS,8
VE,12868,,15
VE,12868,BELLIS,6
VE,12869,,1401
VE,12869,SIGNUM,156
VE,12878,,5764
VE,12878,FOLPAN GOLD,3595
VE,12883,,1885
VE,12883,PROSPER 300 CS,902
VE,12886,,1950
VE,12886,KARATHANE STAR,1066
VE,12888,,14
VE,12916,SACRON 45 W,16
VE,12933,,46
VE,12933,MOXYL 20 WP,19
VE,12940,,465.5
VE,12940,KARATE ZEON 1.5,157
VE,12961,,9
VE,12994,,12.5
VE,12994,VIVER ELITE WG,54.5
VE,13012,,6280
VE,13012,FOLVIT 80 WDG,617
VE,13018,,39
VE,13061,,1007
VE,13061,BIOBIT DF,96
VE,13062,,10
VE,13063,,0.1
VE,13064,,2526
VE,13064,VITENE ULTRA SC,768
VE,13065,DOMARK 125,2
VE,13076,,4
VE,13084,,222
VE,13084,TELDOR PLUS,43
VE,13085,ECODIAN COMBI,11
VE,13093,,1486
VE,13093,STOMP AQUA,456
VE,13095,,6
VE,13098,,1863
VE,13098,ROUNDUP POWER 2.0,4860
VE,13104,,55
VE,13106,IKANOS,8
VE,13116,,1.5
VE,13120,,216
VE,13126,,592
VE,13126,CABRIO DUO,25
VE,13127,,5
VE,13127,VALIS F,572
VE,13149,,1851
VE,13150,CURAME 25 WG,440
VE,13152,,1
VE,13154,,2663
VE,13154,MONDAK 480 S,500
VE,13158,,70
VE,13158,REMEDIER,58
VE,13159,,285
VE,13159,PRIMIAL,4
VE,13160,,1808
VE,13160,FORUM TOP,704
VE,13168,,9565
VE,13168,LAUDIS,2516
VE,13205,,10
VE,13213,,2
VE,13213,R6 ERRESEI ALBIS,96
VE,13218,,30
VE,13218,FINALSAN PLUS,190
VE,13236,,188
VE,13236,BULLET,18
VE,13242,,21
VE,13242,NICOGAN V.O.,652
VE,13244,,1125
VE,13249,,150
VE,13252,,181
VE,13252,PLAYER 250 SC,339
VE,13253,,540
VE,13253,PLAYER SC,88
VE,13255,PLAYER GR,7
VE,13285,SEVERAL,13
VE,13290,ZOLFO MANICA DOPPIO RAFFINATO VENTI,120
VE,13299,MAGIO',2
VE,13313,,95
VE,13313,CASPER,34
VE,13327,,36.5
VE,13327,GRANSTAR ULTRA SX,25.35
VE,13367,,24
VE,13377,,126
VE,13382,,1922.5
VE,13382,PERGADO SC,531
VE,13386,,451
VE,13386,PROSARO,355
VE,13387,,148.93
VE,13387,FLORAMIX,106.53
VE,13388,,2.12
VE,13389,,3361
VE,13389,AFFIRM,2892
VE,13391,,23
VE,13447,HELMSTAR 75 WG,0.53
VE,13451,,260
VE,13451,SPARVIERO,8
VE,13455,,158
VE,13455,ANTIGRAM GOLD,115
VE,13466,,1059
VE,13466,SPOTLIGHT PLUS,607
VE,13471,NICOZEA OD,67
VE,13472,,10
VE,13485,,4661
VE,13485,FOLPEC 80 WG ADVANCE,6
VE,13486,,129
VE,13486,JUDO,9.75
VE,13489,,613.5
VE,13489,CYMBAL,38.5
VE,13540,,60
VE,13540,QUASAR R FLOW,150
VE,13552,,3.5
VE,13552,ZOLVIS 80 SECTOR,387
VE,13560,FORZA,3
VE,13578,RAME CAFFARO BLU WG NEW,24
VE,13579,,20
VE,13581,,3234
VE,13581,ZOLVIS OTTANTA WG,570
VE,13586,VERDERAME 20 WG,30
VE,13592,,198
VE,13592,VOLARE,16
VE,13600,,200
VE,13635,,195
VE,13637,,6887
VE,13637,PERGADO F,2139
VE,13689,,47.5
VE,13689,FLINT MAX,26.5
VE,13693,BACILLUS CHEMIA,2.1
VE,13698,,444.5
VE,13698,VIVANDO,280.25
VE,13700,,716.18
VE,13701,,91.6
VE,13711,,2338
VE,13714,,500
VE,13741,,22
VE,13771,,288
VE,13771,NIMROD 250 EW,46
VE,13782,,1
VE,13789,,44
VE,13792,,789
VE,13792,STABILAN,55
VE,13796,,28
VE,13796,CELL,26
VE,13809,,67470
VE,13809,FORCE ULTRA,12430
VE,13823,,57
VE,13823,ALVERDE,11
VE,13838,,0.5
VE,13838,XEDAVIR,1.25
VE,13838,XEDAVIR PFnPE,1.25
VE,13841,,19554
VE,13841,FOCUS ULTRA,8529
VE,13856,,470
VE,13876,,1440
VE,13876,APACHE,83
VE,13888,,1015
VE,13888,FANTIC F NC WG,520
VE,13895,,5
VE,13895,SAVIRAN STAR,10
VE,13905,,61
VE,13905,BANJO,2
VE,13925,,118.5
VE,13926,,22.5
VE,13927,,3
VE,13927,ZAMIR 18,10.5
VE,13930,MARINS 200 CLASS,39
VE,13981,,3731.3
VE,13981,CORAGEN,369.9
VE,13998,,38
VE,13998,PYRUS 400 SC,4
VE,14020,LIDAL,1
VE,14044,JOKER 480,136
VE,14058,,960.25
VE,14058,FEINZIN 70 DF,550.75
VE,14061,,1
VE,14062,,492
VE,14062,ZOXIUM 240 SC,240
VE,14100,,222
VE,14100,KANEMITE,4
VE,14101,,946
VE,14101,CARAMBA,309
VE,14102,,3876
VE,14102,BORDOFLOW NEW,550
VE,14109,,374
VE,14119,VISIR PENCOTECH,4
VE,14136,OBERON,1
VE,14137,,50.7
VE,14137,ALTACOR,5.5
VE,14155,,510
VE,14156,CURZATE R WG,590
VE,14165,,2179
VE,14165,NANDO MAXI,77
VE,14169,,40
VE,14169,PERGADO R,10
VE,14178,,210
VE,14182,,24
VE,14182,ARES 25 WG,338
VE,14193,SARMOX 45 DG,42.5
VE,14195,,355
VE,14195,KENDO WITH ZEON TECHNOLOGY,12
VE,14210,,328.3
VE,14210,EVURE PRO,320
VE,14257,,1
VE,14262,,4.08
VE,14262,GREENEX NF,16.5
VE,14294,,1.5
VE,14336,,74
VE,14336,NEMATHORIN 150 EC,1
VE,14375,,808
VE,14375,LION 5 EC,711
VE,14387,NERVURE SUPER,30
VE,14390,,2449
VE,14390,BOOM EFEKT,3097
VE,14406,,266.25
VE,14406,LEIMAY,297.75
VE,14407,,27.03
VE,14407,RUNWAY,8
VE,14409,,9352.25
VE,14409,MOVENTO 48 SC,937
VE,14418,,163
VE,14418,PULSAR 40 SL,11
VE,14431,,132
VE,14431,LENTAGRAN 45 WP,2
VE,14434,,0.76
VE,14434,NUANCE,0.06
VE,14474,TEBUSIP COMBI,20
VE,14479,,1150
VE,14479,SCHERMO 0.5 G,2323
VE,14523,,5
VE,14547,BAC MK,0.35
VE,14548,,6
VE,14559,,75
VE,14577,,890
VE,14577,FORUM R 3B,347
VE,14636,,2747
VE,14636,BIOLID UP,1312.5
VE,14636,BIOLID UP ML. 500,8
VE,14636,BIOLID UP PFNPE,0.5
VE,14642,,7459
VE,14642,RIDOMIL GOLD R WG,3092
VE,14664,,0.05
VE,14664,BERELEX 40 SG,0.01
VE,14679,,5
VE,14686,,215
VE,14686,KOCIDE OPTI,480
VE,14697,,765
VE,14697,ENERVIN DUO,410
VE,14699,,89
VE,14699,GEOXE,5
VE,14709,,6.18
VE,14735,,25
VE,14737,,10363
VE,14737,ROUNDUP PLATINUM,2790
VE,14764,,100
VE,14764,SLUXX HP,150
VE,14765,,5050
VE,14765,ELUMIS,2094
VE,14769,COMET 250 EC,3
VE,14772,,17
VE,14785,,16.5
VE,14809,,3
VE,14812,,1372
VE,14812,ENERVIN TOP,365
VE,14838,BARCLAY GALLUP BIOGRADE 360,298
VE,14845,,60
VE,14846,,104
VE,14846,AVALON 250 EW,75
VE,14867,,7
VE,14867,SYNERO,4
VE,14869,,4420
VE,14869,CUPROBEL HYDRO,410
VE,14872,,13.5
VE,14872,BELLIS DRUPACEE,2.5
VE,14876,,37
VE,14879,,15.15
VE,14879,LONTREL 72 SG,9
VE,14884,,10622
VE,14884,CORUM,7052
VE,14914,,10
VE,14918,,519.5
VE,14918,RIVIOR,208.8
VE,14919,,0.02
VE,14935,,1167
VE,14935,TIMELINE TRIO,449
VE,14936,,990
VE,14936,AMPLIGO,484.5
VE,14938,DEDICATE,1.5
VE,14944,,3
VE,14947,,204
VE,14967,,83
VE,14969,,900
VE,14969,HOPPER 480,830
VE,14972,,3
VE,14980,,49
VE,15005,,30
VE,15005,FONTELIS,26
VE,15013,NATRIA LUMACHICIDA,474
VE,15023,,400
VE,15037,,13
VE,15037,BREZZA,24
VE,15039,,3
VE,15047,,200
VE,15047,R6 ERRESEI BORDEAUX WG,2.5
VE,15048,INDOXAN 45 WDG,20
VE,15049,,251
VE,15049,MODDUS,168
VE,15051,,4250
VE,15051,KYLEO,1335
VE,15052,,45
VE,15056,,655
VE,15056,TOMCATO,701
VE,15058,,262.24
VE,15058,PRINCIPAL MAIS,178.64
VE,15059,,2303.25
VE,15059,DECIS EVO,816
VE,15062,,399
VE,15062,PIRAMAX  EC,70
VE,15071,,262
VE,15071,EVOLUTION,47
VE,15083,,1
VE,15083,AUDACE,15
VE,15096,,110
VE,15096,GLIPHOGAN TOP CL,661
VE,15102,,734
VE,15102,CURZATE ERRE EVO,33
VE,15115,,1678
VE,15115,PROSPER 500 EC,75
VE,15120,,10
VE,15121,,4820
VE,15121,BIOCUPRO,20
VE,15122,,3
VE,15127,,20
VE,15130,,605
VE,15130,INTREPID,302
VE,15142,,7948
VE,15142,ALCANCE SYNC TEC,2690
VE,15149,,1185
VE,15149,COSAVET DF EDGE,1975
VE,15199,SAKURA,58
VE,15200,,14
VE,15201,,9
VE,15201,FLOXY 400 SC,25
VE,15213,DEMETRINA FLOW,1
VE,15221,,35
VE,15222,,70
VE,15222,FOLICUR COMBI WG,84
VE,15223,PANTANI,176
VE,15229,,185
VE,15229,STOPPER P,160
VE,15233,,300
VE,15233,DALET TRIO,200
VE,15235,,5
VE,15247,,14
VE,15250,,65
VE,15251,,1663
VE,15251,AIRONE LIQUIDO,796
VE,15253,,4
VE,15263,,172
VE,15263,DYNALI,18
VE,15264,,3496.5
VE,15264,ENERVIN SC,1074
VE,15265,,213
VE,15265,PROMAN FLOW,32
VE,15266,,4020
VE,15266,QUARTET,1660
VE,15267,KUSABI,81
VE,15291,,1
VE,15291,TURFENE PLUS,1
VE,15292,,97
VE,15292,VERTIARO,19.5
VE,15293,,117
VE,15293,MAVITA 250 EC,51
VE,15294,,972
VE,15298,,16
VE,15302,,73
VE,15302,AMYLO-X,59
VE,15307,,36.5
VE,15317,,4107
VE,15317,SESTO GOLD,4
VE,15335,,81
VE,15337,,1.4
VE,15337,EXPRESS,0.3
VE,15346,,83
VE,15348,,60
VE,15348,RIDOMIL GOLD R LIQUIDO,140
VE,15349,ARES 430 SC,12
VE,15356,,24
VE,15358,,230
VE,15358,ZOLFO FLOW MCT,391.5
VE,15363,,20
VE,15369,,144
VE,15369,MAGMA TRIPLE,7
VE,15378,,829
VE,15378,TRAXOS PRONTO 60,271
VE,15379,,177
VE,15379,AXIAL PRONTO 60,21.37
VE,15384,,54
VE,15384,LUNA EXPERIENCE,18
VE,15389,,5800
VE,15401,,10012
VE,15401,TAIFUN MK CL,4019.75
VE,15402,,32
VE,15402,DELTASAP,22
VE,15409,,217
VE,15409,DECISION,6
VE,15410,,171
VE,15410,DECA,147
VE,15419,,65
VE,15419,ELECTIS R FLOW,160
VE,15422,,41.04
VE,15422,TITUS DUO,6.94
VE,15438,SANMITE 10 SC,4
VE,15448,,384
VE,15448,REBEL TOP,24
VE,15449,,1083
VE,15449,CIDELY,489
VE,15451,,20
VE,15483,WISH,2
VE,15491,,16.5
VE,15491,SWORD UP,3
VE,15493,SIMUN 40 OD,100
VE,15499,,542
VE,15499,SONG 70 WDG,269
VE,15501,,1
VE,15513,,1258
VE,15513,OSSICLOR 35 WG GREEN,24
VE,15536,,315
VE,15536,ANTAL,5
VE,15543,,18
VE,15543,LUMACHICIDA FER PFNPE,1388.9
VE,15546,,93.35
VE,15546,BIATHLON 4D,17.45
VE,15549,,63
VE,15550,,47
VE,15553,,22.5
VE,15553,REGALIS PLUS,6
VE,15566,,292
VE,15566,VISION PLUS,85
VE,15574,,30
VE,15574,KARMA 85,15
VE,15583,,265
VE,15591,PREVINT TOP,1
VE,15598,,157
VE,15610,,24
VE,15612,,4.2
VE,15612,SEMPRA,8.4
VE,15621,,16
VE,15622,CURZATE R WG BIANCO,29
VE,15630,,6
VE,15633,,12
VE,15635,,2431
VE,15635,ADENGO XTRA,757
VE,15650,TB 25 WG,9
VE,15654,,360
VE,15662,LESTRA,0.5
VE,15665,,24
VE,15665,KEMPO SORBIE,22.6
VE,15668,,0.25
VE,15668,GHIBLI 240 OD,1
VE,15674,,11.75
VE,15674,AMADEUS TOP,44.6
VE,15689,,22
VE,15693,,96
VE,15712,,10860
VE,15712,SATELITE,1497
VE,15722,,70
VE,15741,,250
VE,15744,,24.5
VE,15744,REBOOT,14
VE,15748,,62
VE,15748,SYLLIT 544 SC,13
VE,15751,,5
VE,15752,,16
VE,15753,,10
VE,15769,,1342
VE,15780,,180
VE,15790,,240
VE,15790,AMISTAR TOP,700
VE,15808,,60
VE,15808,CYMBAL FLOW,1
VE,15831,,44
VE,15836,,58
VE,15836,RATRON GW,53
VE,15837,,1028.75
VE,15837,RATRON GL,6.75
VE,15838,,1260
VE,15838,ROUNDUP ULTRAMAX,490
VE,15856,,193
VE,15869,,1785
VE,15886,,70
VE,15890,CURZATE 60 WG,5.6
VE,15897,ALFIL WG,593
VE,15898,,5.5
VE,15900,,8120
VE,15900,TRIKA EXPERT,1940
VE,15901,,24630
VE,15901,ERCOLE,12310
VE,15907,,15
VE,15910,KARAKAS,48
VE,15911,,76
VE,15911,SPIROX,18
VE,15915,,200
VE,15915,STARANE HD,27
VE,15926,,5599
VE,15926,MOJANG 600,461
VE,15948,,5
VE,15961,,1517
VE,15961,RETENGO NEW,146
VE,15990,SCIROCCO 125 EW,2.25
VE,16007,,1518
VE,16007,REWARD,520
VE,16023,,203
VE,16027,METOMOR F,690
VE,16032,,117
VE,16033,,49
VE,16034,,71
VE,16035,THEOREM,0.5
VE,16038,,4
VE,16038,CABRIO WG,16
VE,16051,,65
VE,16051,LENNS,315
VE,16054,,11
VE,16065,,18.75
VE,16065,SERRATE,26.25
VE,16066,,52.75
VE,16066,RADIANT PRO,4
VE,16068,,7
VE,16068,FOLDER 80 WG,40
VE,16071,,3.75
VE,16071,MESOZIN 70 WG,23.75
VE,16074,,12
VE,16074,GLORIAL 25 EC,98
VE,16076,,519
VE,16076,SOLIS,82
VE,16084,,25
VE,16085,,0.79
VE,16085,TRIMUR,8.03
VE,16089,,61.74
VE,16092,,220
VE,16092,CICLOPE,15
VE,16098,,9
VE,16098,NIBER 70 DF,10.75
VE,16099,SINIS 70 DF,0.75
VE,16101,,107
VE,16101,TOPAS COMBI LIQUIDO,5
VE,16104,,430
VE,16104,ELECTIS TRIO WDG,403
VE,16142,,4.5
VE,16149,,1
VE,16155,DINIRO,1
VE,16157,ATLANTIS FLEX,0.66
VE,16167,,3
VE,16167,MARACANA,8
VE,16170,,10
VE,16171,,131.2
VE,16178,,10050
VE,16179,,600
VE,16179,FOLLOW 80 WG,600
VE,16182,,60
VE,16182,CLICK PRO,5
VE,16191,,529
VE,16191,TRIMAXX,31
VE,16194,,509
VE,16194,ETRAVON PRO,68
VE,16200,,460
VE,16200,CUPRORAM 35 WG NC,680
VE,16204,,42
VE,16221,,0.2
VE,16226,,55
VE,16226,CIMOTER RAME WG,189
VE,16235,KEYFOL WG,485
VE,16242,,55
VE,16247,,340
VE,16249,,2
VE,16251,,671
VE,16251,AFFIRM OPTI,5
VE,16252,,80
VE,16252,AMISTAR GOLD,15
VE,16255,,240
VE,16261,,20
VE,16261,BELOUKHA,4.38
VE,16271,,210
VE,16273,,928.5
VE,16273,SIVANTO PRIME,376.25
VE,16277,,2641
VE,16277,ALMADA 50 SC,166
VE,16279,,850
VE,16279,ERCOLE GR,10
VE,16285,,237
VE,16287,,464
VE,16287,SOLIGOR,168
VE,16288,,1155.25
VE,16288,AMPEXIO,124.25
VE,16290,,18.66
VE,16290,AMADEUS ULTRA,0.33
VE,16295,,1
VE,16295,RAPAX AS,12
VE,16296,,7
VE,16296,PERGADO D,35
VE,16299,,4557
VE,16299,PASSAT SL,7
VE,16303,,55
VE,16304,,28
VE,16325,,4247.95
VE,16325,EPIK SL,2499
VE,16335,,11000
VE,16335,LIETO SC,3985
VE,16336,,4
VE,16361,,635
VE,16362,,530
VE,16363,,1252.9
VE,16363,SIRTAKI,683.8
VE,16364,,8202
VE,16364,BISMARK,6218
VE,16369,,80
VE,16379,,290
VE,16379,PREV-AM PLUS,93
VE,16381,,100
VE,16381,CALLICORE,39
VE,16384,,3124
VE,16384,ELATUS ERA,1120
VE,16385,,240.5
VE,16385,ELATUS PLUS,134.25
VE,16387,,395
VE,16395,,21
VE,16403,CAPITAL SH,10
VE,16420,,2
VE,16425,,70
VE,16425,LASER 120 SC,5
VE,16427,,123
VE,16433,,40
VE,16438,,55.5
VE,16438,VELUM PRIME,6
VE,16442,,1732
VE,16442,PROFILER,1691
VE,16457,,482
VE,16457,POLTIGLIA 20 WG GREEN,2715
VE,16459,,10
VE,16460,,10
VE,16461,,576
VE,16461,CENTURION 240 NEO,10
VE,16472,,430
VE,16472,CONVISO ONE,29
VE,16474,,4.85
VE,16480,,3248
VE,16480,3LOGY,730.2
VE,16481,,5083.42
VE,16481,CALLISTO 480,6.9
VE,16492,,25
VE,16495,,0.05
VE,16498,,386
VE,16501,,1
VE,16501,INSTRATA ELITE,1
VE,16509,,10
VE,16509,IBISCO,35
VE,16510,,4.72
VE,16527,,500
VE,16527,TELLUS WP,4
VE,16538,KITAMBA,50
VE,16540,PRIAM TOP,461
VE,16542,LAOTTA,3
VE,16545,,2430
VE,16545,COPRANTOL HI BIO 2.0,115
VE,16562,,13710
VE,16562,DELAN PRO,4020
VE,16563,,3
VE,16563,DOROTRIN 25 EC,56
VE,16564,,50
VE,16565,,2.7
VE,16565,EXECUTIVE GOLD,7
VE,16567,,380
VE,16570,,336
VE,16570,SENCOR 600 SC,27
VE,16573,,455
VE,16573,FIGHTER,466
VE,16575,TRIMMER 50 WG,0.1
VE,16577,,65
VE,16577,U46 COMBI DUO,26
VE,16596,,3.51
VE,16596,SANIUM SL25 PFNPE,7.88
VE,16597,,95
VE,16598,,453.6
VE,16598,PG SANIUM AL PFNPE ML. 800,79.2
VE,16598,SANIUM AL PFNPE,471.2
VE,16606,,20
VE,16606,PHYTO SARCAN,185
VE,16607,,1740
VE,16607,VEXTAMITRON 700 SC,770
VE,16608,,80
VE,16616,,2456
VE,16616,VALLEY,690
VE,16618,,21.2
VE,16618,COLZA POWER PFNPE,144.42
VE,16619,,0.9
VE,16624,,18
VE,16630,,822.7
VE,16630,KB NATUREN LIMEX PFNPE GR. 450,5.4
VE,16630,LUMACHICIDA LIMEX PFNPE KG. 1,24
VE,16630,NATUREN LIMEX PFNPE,1438.1
VE,16632,,13.5
VE,16643,,2640
VE,16643,SUCCESS GR,288
VE,16654,,1.5
VE,16657,,6110
VE,16657,CENTURY PRO,3870
VE,16658,,601
VE,16658,DAGONIS,43
VE,16663,,516
VE,16667,,1847
VE,16667,REVOLUTION,543
VE,16690,,781.25
VE,16690,KESTREL,150
VE,16699,,0.6
VE,16701,,3.9
