"Prodotti fitosanitari venduti nell'anno 2022
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2022, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
TV;16178;FOLIANE 80 WG;31.997,00
TV;16182;CLICK PRO;324
TV;16187;TANGO R PLUS;30
TV;16189;RISOLUTIV ROW LT 5;405
TV;16191;;7
TV;16191;TRIMAXX;51
TV;16194;ETRAVON PRO;37
TV;16197;COPPERFIELD 17 WG;10.330,00
TV;16198;EVORAM 15;20.130,00
TV;16200;CUPRORAM 35 WG NC;30
TV;16204;;570
TV;16204;ALMADA TRIO;246
TV;16205;;540
TV;16205;IDROX 20;11.970,00
TV;16221;MADEX TOP;1,8
TV;16224;;170
TV;16224;CUPRORAM 37,5 WG;1.826,00
TV;16226;CIMOTER RAME WG;470
TV;16227;TANGO F PLUS;240
TV;16228;POLTIGLIA 20 DF;34
TV;16243;POLYSECT ULTRA AL;81,6
TV;16248;FERREX;24
TV;16251;AFFIRM OPTI;3
TV;16259;LABEL 70 DF;65,25
TV;16259;LABEL 70 DF DA GR.250;3
TV;16261;;95
TV;16261;BELOUKHA;345
TV;16261;BELOUKHA PFnPE;1
TV;16263;SUNJET FLORA;18
TV;16271;FRESCO;35
TV;16273;;2.406,00
TV;16273;SIVANTO PRIME;15.037,50
TV;16273;SIVANTO PRIME DA LT.1;12
TV;16277;;1.177,00
TV;16277;ALMADA 50 SC;1.009,00
TV;16279;ERCOLE GR;2.340,00
TV;16282;;49
TV;16282;DIMIX;40
TV;16283;;140
TV;16283;QUANTUM R-OK;777,5
TV;16285;;11
TV;16285;KALIMBA;289
TV;16287;;89
TV;16287;SOLIGOR;144
TV;16288;;863,25
TV;16288;AMPEXIO;1.761,45
TV;16288;AMPEXIO DA 750 GR;1,5
TV;16288;AMPEXIO GR 750;9
TV;16293;PACLOT NEW;32
TV;16295;RAPAX AS;144,05
TV;16296;;335
TV;16296;PERGADO D;1.203,00
TV;16299;PASSAT SL;2.887,00
TV;16305;BONZI;139
TV;16315;RADAR HP;986,3
TV;16315;RADAR HP 50 ML;1,2
TV;16315;RADAR HP ML 500;125,5
TV;16315;RADAR HP PFnPE;52,6
TV;16315;RADAR HP PFnPE ML 50;2,85
TV;16323;PENDIWIN;3
TV;16325;;4.410,88
TV;16325;EPIK SL;30.532,84
TV;16325;EPIK SL DA LT. 1;52
TV;16325;EPIK SL DA LT. 5;30
TV;16325;EPIK SL LT 1;182
TV;16325;EPIK SL LT 5;110
TV;16325;EPIK SL ML 250;3,5
TV;16325;EPIK SL PFnPE;97,93
TV;16325;EPIK SL PFnPE DA ML.15;1,44
TV;16325;EPIK SL PFnPE ML 15;0,78
TV;16335;;11.801,00
TV;16335;LIETO SC;54.125,00
TV;16335;LIETO SC LT 10;20
TV;16336;DELAN SC;13
TV;16361;FULL 80 WG;248
TV;16363;;222,3
TV;16363;SIRTAKI;786,9
TV;16363;SIRTAKI LT 1;1
TV;16363;SIRTAKI ML 300;9,3
TV;16364;;579
TV;16364;BISMARK;5.703,00
TV;16364;BISMARK LT 1;67
TV;16364;BISMARK LT 10;160
TV;16364;BISMARK LT 5;140
TV;16369;ORTIVA TOP SC;3
TV;16379;;609
TV;16379;PREV-AM PLUS;6.328,00
TV;16381;CALLICORE;777
TV;16384;;18
TV;16384;ELATUS ERA;225
TV;16384;ELATUS ERA LT 5;5
TV;16385;ELATUS PLUS;75
TV;16387;HERBITOTAL CL;640
TV;16395;MOHICAN 500 SC;37
TV;16396;TEMSA 100;80
TV;16399;;13
TV;16399;DECIS 15 EW HOBBY PFnPE;1
TV;16399;Deltam 15 EW Hobby;1,2
TV;16399;DELTAM 15 EW HOBBY PFnPE;626,89
TV;16399;DELTAM 15 EW HOBBY PFnPE DA ML.10;1,2
TV;16399;DELTAM 15 EW HOBBY PFnPE DA ML.50;2,4
TV;16399;DELTAM 15 EW HOBBY PFnPE DA ML.500;6
TV;16399;DELTAM 15 EW HOBBY PFnPE ML 250;27,75
TV;16399;DELTAM 15 EW HOBBY PFnPE ML 50;7,25
TV;16399;DELTAM 15 EW HOBBY PFnPE ML 500;44
TV;16402;ENVIROMITE FL;12,75
TV;16404;BRAI;1
TV;16415;MADEX TWIN;0,1
TV;16416;FENOTRIX 300 SC;14
TV;16419;BENTADOR;800
TV;16422;SPIROSTAR;3.365,00
TV;16431;PREVICUR ENERGY ORTO PFnPE;3,3
TV;16434;OLIOCIN NATRIA;20
TV;16434;OLIOCIN NATRIA PFnPE;258
TV;16438;VELUM PRIME;18
TV;16439;CHECKMATE PUFFER LB;402
TV;16444;DIXIE MAIS;7,2
TV;16448;NEALTA;11
TV;16457;;120
TV;16457;POLTIGLIA 20 WG GREEN;6.096,00
TV;16457;POLTIGLIA 20 WG GREEN KG 10;40
TV;16457;POLTIGLIA 20 WG GREEN PFnPE;66
TV;16459;;499,5
TV;16459;SOLEIL 50 WG;310
TV;16460;VELIERO 500 EC;3
TV;16461;CENTURION 240 NEO;104
TV;16462;R6 ERRESEI ALBIS ORTO GR 500;13
TV;16470;;13,2
TV;16470;COLUMBO 0.8 MG;27,9
TV;16470;COLUMBO 0.8 MG PFnPE;958,5
TV;16473;PRIMO MAXX II;1
TV;16474;MATSUDA 25 WG;18,8
TV;16476;ALIBI FLORA;6
TV;16477;RIVAL;5
TV;16480;;760
TV;16480;3LOGY;8.194,25
TV;16480;3LOGY DA LT.4;64
TV;16480;3LOGY PFnPE;2,25
TV;16485;ROMULAN;2
TV;16492;;108
TV;16492;VASCO;392
TV;16495;FLINT ORTO;0,2
TV;16495;FLINT ORTO PFnPE;0,1
TV;16497;DECIS PROTECT EW PFnPE;40
TV;16500;TRIBAL;565
TV;16501;;2
TV;16501;INSTRATA ELITE;27
TV;16508;BASTINSECT;1,68
TV;16509;;65
TV;16509;IBISCO;2.922,00
TV;16527;;28
TV;16527;TELLUS WP;57
TV;16538;KITAMBA;520
TV;16545;;1.900,00
TV;16545;COPRANTOL HI BIO 2.0;530
TV;16545;COPRANTOL HI BIO 2.0 DA KG.10;350
TV;16553;ELEGANT 2DF;243
TV;16562;;4.515,00
TV;16562;DELAN PRO;41.305,00
TV;16562;DELAN PRO LT 5;5
TV;16563;DOROTRIN 25 EC;5
TV;16564;MEXIRAM TRI HI BIO;440
TV;16565;EXECUTIVE GOLD;1
TV;16566;;430
TV;16566;KUPPER 20 WG;130
TV;16570;SENCOR 600 SC;113
TV;16572;DAKOFAKA;17,85
TV;16573;FIGHTER;60
TV;16575;TRIMMER 50 WG;1,84
TV;16578;MELODY COMPACT WG KG 1;15
TV;16578;MELODY COMPACT WG KG 6;12
TV;16596;SANIUM SL25 PFnPE;188,2
TV;16597;SANIUM SL25 GIARDINO PFnPO;22,2
TV;16597;SANIUM SL25 GIARDINO PFnPO ML 100;2,4
TV;16598;SANIUM AL PFnPE;20
TV;16599;SANIUM AL PFnPO;468
TV;16599;SANIUM AL PFnPO 800 ML;28,8
TV;16606;PHYTO SARCAN;3.960,00
TV;16607;VEXTAMITRON 700 SC;630
TV;16616;;27
TV;16616;VALLEY;553
TV;16618;COLZA POWER;13,75
TV;16625;MAINSPRING;14,8
TV;16630;NATUREN LIMEX PFnPE;61,1
TV;16635;;11
TV;16635;SEGURIS ERA;73
TV;16643;;408
TV;16643;SUCCESS GR;2.844,78
TV;16647;TAG PRO;225
TV;16654;POLYVERSUM;34,3
TV;16657;;1.784,00
TV;16657;CENTURY PRO;14.950,00
TV;16658;;2
TV;16658;DAGONIS;1.421,00
TV;16660;;3.103,00
TV;16660;ACTLET C;1.600,00
TV;16663;;480
TV;16663;ACTLET F;15.005,00
TV;16667;;673
TV;16667;REVOLUTION;1.964,00
TV;16690;;803,75
TV;16690;KESTREL;2.130,25
TV;16703;;19
TV;16703;SPADA 50 WG;148
TV;16703;SPADA 50 WG DA KG. 1;12
TV;16734;T34 BIOCONTROL;2,5
TV;16735;LOBETEC;2.200,00
TV;16742;NEMGUARD SC;1
TV;16751;REQUIEM prime;75
TV;16754;SIMBA;106
TV;16761;DELMUR;5
TV;16772;AMYLO X LC;229
TV;16776;;324
TV;16776;ASSET FIVE;838,25
TV;16779;;26
TV;16779;TONALE;2.110,00
TV;16779;TONALE LT 10;220
TV;16779;TONALE LT 2;110
TV;16780;;90
TV;16780;SERENADE ASO;2.260,00
TV;16781;CYMBAL 35 WG;2
TV;16785;;3,6
TV;16785;GOLDWIND;2,25
TV;16787;;4.121,00
TV;16787;CLINIC ST;4.979,00
TV;16789;TESSIOR;320
TV;16790;;1.455,00
TV;16790;NORDOX ENERGY;836
TV;16790;NORDOX ENERGY KG 5;90
TV;16792;PROFILE PLUS;1,5
TV;16794;;50
TV;16794;SILGLIF ST;199
TV;16797;DEMETRINA 25 EC;13
TV;16799;;10
TV;16799;ALEXIN 75 LS;3.674,00
TV;16802;;93
TV;16802;ZYPAR;1.547,00
TV;16802;ZYPAR LT 1;18
TV;16802;ZYPAR LT 3;27
TV;16816;EXALT 25 SC;13
TV;16819;;487
TV;16819;NATUR BREAKER;44
TV;16820;;66
TV;16820;VALIANT FLASH;3.030,00
TV;16830;FANDANGO 360 TF;2.925,00
TV;16831;;105
TV;16831;GLIFENE BIOGRADE;4.820,00
TV;16831;GLIFENE BIOGRADE LT 20;700
TV;16831;GLIFENE BIOGRADE LT 5;205
TV;16831;GLIFENE BIOGRADE PFnPE;852,5
TV;16833;;25
TV;16833;PANTOX 360 SUPER;933
TV;16835;;37
TV;16835;RAVANE PLUS 100 CS;38
TV;16836;STALLION IT SYNC;765
TV;16842;CUPRAVIT BIO ADVANCED;635
TV;16846;;54
TV;16846;VESTICOR;296,6
TV;16857;SHORTTRACK;309
TV;16858;KENJA;133
TV;16867;;1.420,00
TV;16867;GLISTER STAR;1.946,00
TV;16867;GLISTER STAR LT 20;160
TV;16886;;513,12
TV;16886;CLOSER;2.953,24
TV;16886;CLOSER 10 ML;0,4
TV;16886;CLOSER 120SC 0,25;1,75
TV;16886;CLOSER 120SC LT 1;2
TV;16886;CLOSER DA LT. 1;8
TV;16886;CLOSER DA ML 250;0,75
TV;16886;CLOSER PFnPE;108,04
TV;16886;CLOSER PFnPE ML 10;1,13
TV;16886;CLOSER PFnPE ML 25;5,63
TV;16895;ZORVEC ENICADE;5,85
TV;16896;;28,4
TV;16896;ZORVEC ZELAVIN;74
TV;16897;KATOUN GOLD;50
TV;16901;BELOUKHA GARDEN;21
TV;16902;;48
TV;16902;AVIATOR XPRO;230
TV;16904;;63
TV;16904;KIDEKA 100 SC;141
TV;16906;GHIBLI PLUS;306
TV;16907;;2.620,00
TV;16907;WHISPER;570
TV;16915;ALEAVI;3,2
TV;16916;;2.288,00
TV;16916;BUGGY G;3.904,00
TV;16916;BUGGY G LT 1;69
TV;16917;LOGRADO PLUS;2.553,00
TV;16925;WISH TOP;58
TV;16933;TEC FORT;13
TV;16939;SARUMO;32
TV;16945;;243,5
TV;16945;SERCADIS;1.936,50
TV;16945;SERCADIS DA LT.1;1
TV;16946;;133
TV;16946;DARAMUN;1.671,00
TV;16947;;42
TV;16947;BRIONFLO 100 SC;3
TV;16950;;288
TV;16950;MANAMID 100 SC;1.464,00
TV;16951;;135
TV;16951;ESQUIVE WP;125
TV;16952;DIRIMAL;475
TV;16957;;1.911,00
TV;16957;ZORVEC VINABRIA;14.844,00
TV;16960;ACTLET EVO;236
TV;16961;BENSEC TF;95
TV;16963;;9
TV;16963;AVENOX 240;103
TV;16976;;445
TV;16976;VITIKAPPA;576
TV;16976;VITIKAPPA PFnPE;13,2
TV;16988;;5.990,00
TV;16988;NAIF;730
TV;17003;;25
TV;17003;PRIAXOR;247,5
TV;17005;CLOMATE;2
TV;17006;MONCUT;3
TV;17007;ERADICOAT;360
TV;17010;TIXAL TRI;870
TV;17014;DELEGATE WDG;15,3
TV;17019;AIRONE L. BLU;4
TV;17023;RIVIERA R WG;40
TV;17026;DUPLOSAN SUPER;25
TV;17038;;475
TV;17038;TUAREG NEW;7.954,50
TV;17038;TUAREG NEW LT 1;28
TV;17038;TUAREG NEW LT 5;100
TV;17046;ROUNDUP 60;475
TV;17058;;580
TV;17058;ROMEO;935,3
TV;17058;ROMEO PFnPE;0,21
TV;17059;VINTEC;3,2
TV;17060;;1
TV;17065;KAURITIL ULTRA WG;3.070,50
TV;17066;PRAXIM;22
TV;17069;TIOVIT L;21.375,00
TV;17069;TIOVIT L DA LT.5;5
TV;17075;;33,12
TV;17075;MOVIDA;175,02
TV;17077;FIDELITY;85,5
TV;17078;;1.206,00
TV;17078;QUANTUM L;13.695,00
TV;17078;QUANTUM L DA LT.1;15
TV;17078;QUANTUM L LT 1;8
TV;17078;QUANTUM L PFnPE;25
TV;17079;;170
TV;17079;FORCE EVO;1.230,00
TV;17080;;480
TV;17082;;800
TV;17087;FOLDIM;320
TV;17091;;1.895,00
TV;17091;CHAMP 20 WG;1.184,00
TV;17093;LANDING;20
TV;17097;SPANDIS;1
TV;17099;ZAKEO 250 SC;244
TV;17107;;205
TV;17107;SPYRIT 50 SC;1.091,00
TV;17111;FLOVINE;120
TV;17112;;2
TV;17112;DIFCOR;296
TV;17113;MIKAL F;1.909,00
TV;17116;ACTIVUS ME;488
TV;17116;ACTIVUS ME LT 1;10
TV;17116;ACTIVUS ME LT 5;20
TV;17117;MITOR;647
TV;17118;BIOACT PRIME DC;6,5
TV;17119;SQUARE EC;91
TV;17121;;1
TV;17121;ATLANTIS ACTIV;63,36
TV;17123;AVANA;10
TV;17125;;2
TV;17125;LOCK UP;98
TV;17129;;950
TV;17129;COSAVET FLOW;4.570,00
TV;17147;PEDIMENT;17
TV;17168;VERDRAM TRI HI BIO;70
TV;17170;BELKAP EXTRA;2.125,00
TV;17178;TOTAL GREEN L;2.168,00
TV;17188;;14
TV;17188;DALDA 100 CS;4
TV;17193;;13,2
TV;17194;DICARINI;0,88
TV;17204;CYPRUS 25 WG;914
TV;17205;CIDIAL;50
TV;17209;;36
TV;17209;DAVAI;543
TV;17211;;144
TV;17211;GENKOTSU;153
TV;17212;ISERAN;175
TV;17217;ARMICARB SPRAY;31,5
TV;17226;;10
TV;17237;;232
TV;17248;;3.727,00
TV;17248;ZORVEC VINABEL;18.138,00
TV;17248;ZORVEC VINABEL DA LT.1;36
TV;17248;ZORVEC VINABEL LT 1;31
TV;17248;ZORVEC VINABEL LT 3;6
TV;17252;SINDOXA;5
TV;17254;SIAGRAN ULTRA;1,2
TV;17264;ZOLFO LIQUIDO 80 SC;80
TV;17265;FILDER 500 SC;50
TV;17268;KUKI 70;1
TV;17270;ASCRA XPRO;180
TV;17272;;15
TV;17272;SERIFEL;137
TV;17273;FLYPACK DACUS TRAP;0,37
TV;17275;NOTO CLASS;26
TV;17281;PETALIN;54
TV;17284;RODEO PLUS;110
TV;17292;BIOOtwin L;2
TV;17294;ZORVEC EPICALTRIN;13,5
TV;17295;IMPERO 18 EC;79
TV;17295;IMPERO 18 EC LT 1;7
TV;17296;TARLYS;127
TV;17299;;4
TV;17301;;138
TV;17301;DESMON;104
TV;17304;KAN-DOO;39
TV;17306;HIGHTOP;64
TV;17307;TAZER;2
TV;17309;TAYREX;140
TV;17311;VINIFOL WDG;2.447,50
TV;17317;;318,25
TV;17317;NABUCCO;4.482,00
TV;17317;NABUCCO DA LT.1;5
TV;17319;FOXPRO;243
TV;17320;SENIOR 75 WG;28,5
TV;17320;SENIOR 75 WG GR 500;5
TV;17323;CONTENDER 800;28
TV;17324;PICKER FLOW;3,2
TV;17327;SHERPA 0.8 MG;60
TV;17328;RHIZOPON AA POLVERE 0,5%;3
TV;17329;RHIZOPON AA POLVERE 1%;4
TV;17332;;60
TV;17336;FAIRPLAY;34
TV;17337;;342
TV;17340;APHOX 50;5
TV;17345;ARPEL WG;190
TV;17346;;66
TV;17346;EXOSET 240 EC;961
TV;17350;SONATA;3.905,00
TV;17355;ECOFOX;255
TV;17358;BLAISE ULTRA;27
TV;17360;;1.594,00
TV;17360;MAGO;17.499,00
TV;17360;MAGO DA LT. 1;12
TV;17360;MAGO LT 1;30
TV;17360;MAGO LT 5;160
TV;17368;ALETIL DF;1.356,00
TV;17369;ECOMIX;5
TV;17372;COPRANTOL 30 WG;148
TV;17377;REFINE SX;46,14
TV;17378;GACHINKO;23,4
TV;17380;CAROLIN;560
TV;17387;;2.000,00
TV;17387;WARDEN C;15
TV;17389;SHARK PF;1,5
TV;17403;BLOSSOM PROTECT NEW;3
TV;17407;WINTECH;58
TV;17409;XINTECH 50;7
TV;17421;AGRIZOLE 250;74
TV;17422;ENVITA SC;712
TV;17436;;1.451,00
TV;17436;WARDEN F;239
TV;17441;EFFIELD SC;2
TV;17451;;42
TV;17451;TEKKEN;198
TV;17455;;10
TV;17455;PALIO;58
TV;17461;;223,72
TV;17461;ORONDIS;1.845,00
TV;17462;ORONDIS VEG;0,3
TV;17469;;2,22
TV;17469;TAEGRO;17,05
TV;17470;;30
TV;17470;LIMOCIDE;13
TV;17472;;79
TV;17472;JADE;794
TV;17472;JADE LT 1;18
TV;17472;JADE LT 5;50
TV;17478;EMPIRE;11
TV;17489;BELTHIRUL;8
TV;17492;INDOX PLUS;36
TV;17497;CALDERA;30
TV;17502;LINCE;145
TV;17508;;685
TV;17508;POLYCOM 70 DF;17.420,00
TV;17508;POLYCOM 70 DF KG 10;140
TV;17513;METREX;61,5
TV;17522;REGNUM 25 EC;88
TV;17523;LUMIX BIO;1
TV;17524;ALCOBAN;6
TV;17529;MEDOR 70 WDG;7
TV;17531;MEXIL R FLOW;240
TV;17532;CONTENDER PLUS;5.795,00
TV;17541;CHANTICO;338,5
TV;17548;ENELSE;1.244,00
TV;17549;SENPAI;2.696,00
TV;17552;COLUMBO PRO;12
TV;17560;MARACAS F;101
TV;17597;;157,75
TV;17597;SHINKON;2.054,09
TV;17601;;134
TV;17601;ANDROMEDA;60
TV;17605;BACK 100 SC;1.489,00
TV;17605;BACK 100SC;40
TV;17612;;51,75
TV;17631;GRIFON EXTRA;40
TV;17642;BUSSOLA;500
TV;17680;GALILEO;299,5
TV;17681;FRAMEX;1.795,00
TV;17687;;240
TV;17687;ELTIRA;10
TV;17696;SUPRACAFFARO 30 WG;50
TV;17698;;840
TV;17705;SUPERBO 18 EC;52
TV;17705;SUPERBO 18 EC LT 1;1
TV;17715;;67.929,00
TV;17715;CHECKMATE VBM-PRO;570,22
TV;17745;PREDILECTO;24
TV;17746;;20
TV;17746;CLEMATIS;1.072,00
TV;17746;CLEMATIS LT 1;118
TV;17749;DRONE;29
TV;17751;PRAKTIS;39
TV;17754;;1
TV;17754;REVYCARE;17
TV;17760;NIRVANA;4,84
TV;17782;SUNPOWER;10
TV;17796;;59
TV;17796;SIVIL TOP;173
TV;17797;;33
TV;17797;FENERGY SC;404
TV;17805;BROKER;24
TV;17807;;32,5
TV;17807;PARLEAF;175
TV;17808;ANTENE S;70
TV;17814;Cheprec;141
TV;17824;MIRADOR TURBO;124
TV;17826;;343
TV;17826;DOMARK 125 PLUS;1.368,75
TV;17834;CELADA LB 400;96
TV;17840;OLIOCIN PLUS;175
TV;17847;CEDROZ;5
TV;17853;DECIS TRAP CILIEGIO;40
TV;17880;AZULEO;45
TV;17888;VOLIAM;1
TV;17894;TRIKA ENERGY;1.000,00
TV;17896;FORTUNE DISPERSS;22.845,00
TV;17920;;6
TV;17920;GHIBLI TM;435
TV;17923;ARNOS SC;6
TV;17945;LUMEO;88,2
TV;17947;CODAL;363,25
TV;17951;AUDACE SC;138
TV;18001;MIKONOS;125
TV;18016;AF-X1 2022;3.762,50
TV;18063;ACELEPRYN 2022;1,8
TV;18094;;5
TV;18094;ENOVIT METIL 02;15
TV;18216;VITIKAPPA PFnPE;2,5
TV;18244;Momentum;6
TV;18270;GLIPHOGAN TOP CL PFNPE;115
VE;13;;13.592,00
VE;13;THIOPRON;3.390,00
VE;206;;6.103,00
VE;599;;110
VE;619;;61
VE;619;VALGRAN;7
VE;909;;575
VE;909;POLISOLFURO DI CALCIO POLISENIO;75
VE;1156;;1.587,00
VE;1156;CHEMOL;761
VE;1562;ERBITOX M PRO;2
VE;1573;;3.280,00
VE;1573;BASAMID GRANULAT;1.900,00
VE;1583;;46.770,00
VE;1583;MICROTHIOL DISPERSS;19.245,00
VE;1823;ZOLFO 80 MICRONIZZATO;5
VE;1936;;1.430,00
VE;2191;;648
VE;2191;WETTING PLUS;244
VE;2272;SILLIM PFnPE;2,5
VE;2291;;1.534,00
VE;2291;ESCA REGINA N;169
VE;2291;ESCA REGINA N PFnPE;1.406,00
VE;2307;;1.313,00
VE;2307;VECTOR;553
VE;2353;;694
VE;2353;BONALAN;101
VE;2732;;2.595,00
VE;2732;GOLTIX;907
VE;2923;;39.513,00
VE;2923;TIOVIT JET;9.817,00
VE;2934;;0,9
VE;2934;MICROSOL 90 PFnPE;24,65
VE;2995;ESCARTOX;2
VE;3065;OLIOCIN;175
VE;3065;OLIOCIN PFnPE;5
VE;3082;OLEOTER ESTATE;20
VE;3102;;1.012,00
VE;3102;OLEOTER;7
VE;3102;OLEOTER PFnPE;306,75
VE;3132;;41,5
VE;3132;SEPR-OIL PFnPE;177,5
VE;3182;;112
VE;3343;;125
VE;3343;U46 M CLASS;147
VE;3411;AMADENE PFnPE;10
VE;3412;;112
VE;3412;SYLLIT 65;22
VE;3486;;36
VE;3486;TRISCABOL DG;5
VE;3503;;65
VE;3503;AGRUMIN;20
VE;3519;;34
VE;3519;METAMBANE;10
VE;3553;;14
VE;3640;;3.535,00
VE;3767;;385
VE;3767;FENOXILENE 200;280
VE;3779;;1.000,00
VE;3800;;5
VE;3817;;115
VE;4701;;170
VE;4710;;521,5
VE;4710;ALIETTE;67
VE;4710;ALIETTE PFnPE;8,75
VE;4896;RIGENAL P PFnPE;2,2
VE;5414;;12,08
VE;5414;RADICANTE POLVERE TALEE LEGNOSE PFnPE;11,4
VE;5574;;36
VE;6001;BETAFIL FL;5
VE;6136;;1
VE;6321;;1
VE;6321;STIMOLANTE 66F;5
VE;6322;;59
VE;6322;OBSTHORMON 24A;5
VE;6437;;51
VE;6437;ETHREL;4
VE;6438;;39
VE;6438;BI-FEN;41
VE;6555;;325
VE;6556;;173
VE;6556;K-OBIOL DP2;29
VE;6557;;16
VE;6704;TIOLENE 80 WG;20
VE;6751;;17
VE;6771;;2.279,00
VE;6771;COESIL;5
VE;6834;TEPETA COMBI FLOW;10
VE;6945;;268
VE;6945;TOPAS 10 EC;56,5
VE;6956;;60
VE;6956;TARGA FLO;395
VE;7020;;385
VE;7020;BAGNANTE CIFO;267
VE;7053;;73
VE;7053;PASTA CAFFARO NC;6
VE;7055;;87,5
VE;7055;PASTA CAFFARO BLU;62
VE;7055;PASTA CAFFARO BLU 500 ML;48,5
VE;7368;;59
VE;7368;TURFENE L;11
VE;7368;TURFENE L PFnPE;12
VE;7379;;127
VE;7379;VENZAR;93
VE;7401;;35
VE;7401;POLTIGLIA CAFFARO 20 DF NEW;41
VE;7411;;5
VE;7411;DIRAGER;1
VE;7483;;67
VE;7541;;6
VE;7541;APOLLO SC PFnPE;2,15
VE;7700;;482
VE;7700;MATACAR FL;171,6
VE;7700;MATACAR FL24;1,2
VE;7764;;213,5
VE;7764;TIOLENE PFnPE;22,5
VE;7916;;13.773,00
VE;7916;POLYRAM DF;4.849,00
VE;7919;;13.758,00
VE;7919;TOUCHDOWN;9.644,00
VE;7922;;178
VE;7922;OPALENE FLUID;5
VE;7922;OPALENE FLUID PFnPE;154
VE;7930;;2.632,00
VE;7930;KERB FLO;176
VE;8001;;7,68
VE;8028;;787
VE;8102;;5.380,00
VE;8102;MERPAN 80 WDG;762
VE;8146;;35
VE;8146;GALLERY;8,5
VE;8184;;319
VE;8184;CHALLENGE;59
VE;8229;;6
VE;8259;LAMDEX EXTRA;62
VE;8320;DELFIN;30
VE;8376;;149
VE;8376;ARIANE II;12
VE;8382;;1
VE;8382;ROUNDUP BIOFLOW PFnPE;84,5
VE;8498;;59
VE;8498;FOLICUR WG;84,5
VE;8542;;103
VE;8542;FORUM 50 WP;68
VE;8558;;480,5
VE;8558;PIRETRO VERDE;20,5
VE;8558;PIRETRO VERDE PFnPE;0,9
VE;8565;;23,8
VE;8599;;681
VE;8599;GOLD BEET;65
VE;8601;;4.616,00
VE;8601;FOLPAN 80 WDG;3.074,00
VE;8617;;36
VE;8656;;230
VE;8656;GLIFENE HP;3.170,00
VE;8706;;31,5
VE;8706;AMID THIN W;11
VE;8712;;2
VE;8712;ALLEGANTE 4% AF 96;1
VE;8735;;1.389,00
VE;8735;TREBON UP;409,5
VE;8743;;6
VE;8795;;98,75
VE;8795;VERTIMEC EC;28
VE;8797;;2
VE;8797;BINAL PRO;69
VE;8801;;683,5
VE;8801;SCORE 25 EC;136,75
VE;8874;;274
VE;8874;ETOFUM - FL;1
VE;8882;;139
VE;8886;;66,72
VE;8886;SAFARI;19,68
VE;8900;ZOLFO VENTILATO RAMATO 3%;135
VE;8929;;10,5
VE;8933;;1
VE;8934;;291
VE;8934;SCALA;386
VE;8937;;13
VE;9005;;486
VE;9005;AGIL;1.863,00
VE;9010;RAMEZIN COMBI WG;311
VE;9012;;100
VE;9012;CUPROCAFFARO MICRO;12
VE;9041;;6.160,00
VE;9061;;50
VE;9126;;51
VE;9126;CONCORDE COMBI PFnPE;20,2
VE;9148;;10
VE;9210;;3.800,00
VE;9210;QUADRIS;1.015,00
VE;9244;;320
VE;9244;ZIRAMIT 76 WG;260
VE;9267;;1.620,00
VE;9280;TOPAS 200 EW;0,5
VE;9342;;8
VE;9342;DELTRIN;15,5
VE;9342;DELTRIN PFnPE;194
VE;9373;;49
VE;9373;CHORUS;13
VE;9411;;1,8
VE;9411;RADIP ORMON PFnPE;7,9
VE;9422;;178,5
VE;9422;EVADE;79,25
VE;9449;EMERALD COMBI;12
VE;9509;;68,5
VE;9569;;290
VE;9578;;1.303,75
VE;9578;SWITCH;207,25
VE;9599;;20
VE;9612;OSSICLOR 30;49
VE;9631;;6
VE;9631;METRIN EC;7
VE;9634;;1
VE;9668;;162
VE;9668;RUFAST E-FLO;41,4
VE;9679;;24
VE;9693;SPORTAK 45 EW;1
VE;9695;PERLAN;23
VE;9705;;142
VE;9705;PREVITER;26
VE;9705;PREVITER PFnPE;0,18
VE;9723;;1.040,00
VE;9723;DE-SPROUT N;140
VE;9744;;276
VE;9744;SCORE 10 WG;49
VE;9757;;393
VE;9757;SPYRALE;223
VE;9790;;318
VE;9800;;849,4
VE;9800;MAVRIK SMART;304,87
VE;9843;;2.703,00
VE;9843;BASAGRAN SG;684
VE;9872;;380
VE;9872;AKRIS;460
VE;9954;;2.655,00
VE;9954;JOKER;903
VE;10005;;11
VE;10005;Scotts weedcontrol;5
VE;10005;SCOTTS WEEDCONTROL PFnPE;10
VE;10029;KING PFnPE;2,9
VE;10048;;9.900,00
VE;10048;KUMULUS TECNO;4.025,00
VE;10105;;12,25
VE;10105;RIDOMIL GOLD SL;4
VE;10117;;3.729,00
VE;10117;STRATOS ULTRA;740
VE;10118;;1.789,20
VE;10118;AMISTAR;273
VE;10127;DECIS JET PFnPE;7,73
VE;10142;;50
VE;10154;;10
VE;10161;;554
VE;10161;ORTIVA;10,23
VE;10209;GLYFOS ULTRA;60
VE;10220;;59
VE;10220;DICOPUR COMBI;42
VE;10224;;970
VE;10233;;3
VE;10263;;3
VE;10296;;312
VE;10305;;138,12
VE;10305;OIKOS;16
VE;10305;OIKOS PFnPE;2,27
VE;10306;;105
VE;10306;MISTRAL;63
VE;10324;;50
VE;10324;NEMATHORIN 10 G;10
VE;10350;;723
VE;10350;BLAST SG;681
VE;10357;RIGRON SG;162
VE;10381;;85,77
